ID,x,y,color,marker_0,marker_1
1,8.32046318,7.08645058,red,126,127
2,4.13126318,7.08645058,red,128,129
3,12.50966318,7.08645058,red,130,131
4,8.32046318,11.27565058,red,132,133
5,8.32046318,2.89725058,red,134,135
