ID,x,y
90,0.91638708,0.91638756
91,3.38441277,0.91638756
92,5.85243797,0.91638756
93,8.32046318,0.91638756
94,10.78848839,0.91638756
95,13.2565136,0.91638756
96,15.7245388,0.91638756
97,0.91638708,3.38441253
98,5.85243797,3.38441253
99,10.78848839,3.38441253
100,15.7245388,3.38441253
101,0.91638708,5.85243797
102,3.38441277,4.92692852
103,5.85243797,5.85243797
104,8.32046318,4.92692852
105,10.78848839,5.85243797
106,13.2565136,4.92692852
107,15.7245388,5.85243797
108,0.91638708,8.32046318
109,3.38441277,9.24597263
110,5.85243797,8.32046318
111,8.32046318,9.24597263
112,10.78848839,8.32046318
113,13.2565136,9.24597263
114,15.7245388,8.32046318
115,0.91638708,10.78848839
116,5.85243797,10.78848839
117,10.78848839,10.78848839
118,15.7245388,10.78848839
119,0.91638708,13.2565136
120,3.38441277,13.2565136
121,5.85243797,13.2565136
122,8.32046318,13.2565136
123,10.78848839,13.2565136
124,13.2565136,13.2565136
125,15.7245388,13.2565136
