subject	glasses	component	bin	distance	offset
p1	smi	vertical	9	0.250267847	-3.845661943
p1	smi	vertical	10	0.268748021	-3.723596103
p1	smi	vertical	11	0.310535019	-2.972724983
p1	smi	vertical	12	0.355631366	-3.037382113
p1	smi	vertical	13	0.464796175	-2.107311913
p1	smi	vertical	14	0.612321299	-1.271757573
p1	smi	vertical	15	0.782483368	-0.758396553
p1	smi	vertical	16	1.047628201	0.012323877
p1	smi	vertical	17	1.422395323	0.347664437
p1	smi	vertical	18	2.106760324	0.375363977
p1	smi	vertical	19	3.238473067	0.349771897
p1	smi	vertical	20	5.396810705	0.579733037
p1	g2	horizontal	1	0.165607508	1.316626536
p1	g2	horizontal	2	0.172120697	1.593673896
p1	g2	horizontal	3	0.183705763	1.225720906
p1	g2	horizontal	4	0.190844347	0.665663051
p1	g2	horizontal	5	0.195185456	2.358800516
p1	g2	horizontal	6	0.201181686	0.636287541
p1	g2	horizontal	7	0.210965482	0.464397316
p1	g2	horizontal	8	0.232002863	0.568477241
p1	g2	horizontal	9	0.247659722	1.170723551
p1	g2	horizontal	10	0.268865971	0.727219311
p1	g2	horizontal	11	0.313483916	0.079160376
p1	g2	horizontal	12	0.366730745	0.308614706
p1	g2	horizontal	13	0.460444214	0.037837786
p1	g2	horizontal	14	0.588701605	0.104215991
p1	g2	horizontal	15	0.78002835	-0.076001299
p1	g2	horizontal	16	1.061586255	0.061324461
p1	g2	horizontal	17	1.485750076	0.064406051
p1	g2	horizontal	18	2.178990764	0.014194046
p1	g2	horizontal	19	3.350462542	0.064811736
p1	g2	horizontal	20	5.472772843	-0.290892699
p1	g2	vertical	1	0.165607508	-3.332180463
p1	g2	vertical	2	0.172120697	-4.357370548
p1	g2	vertical	3	0.183705763	-3.078483758
p1	g2	vertical	4	0.190844347	-1.952877008
p1	g2	vertical	5	0.195185456	-3.575702553
p1	g2	vertical	6	0.201181686	-2.044242328
p1	g2	vertical	7	0.210965482	-1.705569468
p1	g2	vertical	8	0.232002863	-1.675105138
p1	g2	vertical	9	0.247659722	-2.274048078
p1	g2	vertical	10	0.268865971	-1.783010533
p1	g2	vertical	11	0.313483916	-1.585268968
p1	g2	vertical	12	0.366730745	-1.540642563
p1	g2	vertical	13	0.460444214	-1.280724373
p1	g2	vertical	14	0.588701605	-0.901371793
p1	g2	vertical	15	0.78002835	-0.438459253
p1	g2	vertical	16	1.061586255	-0.548001693
p1	g2	vertical	17	1.485750076	-0.221389473
p1	g2	vertical	18	2.178990764	-0.018991183
p1	g2	vertical	19	3.350462542	0.146647657
p1	g2	vertical	20	5.472772843	0.432727577
p1	g3	horizontal	1	0.171281952	-0.176292013
p1	g3	horizontal	2	0.179502041	-0.078081848
p1	g3	horizontal	3	0.201565382	-0.783778033
p1	g3	horizontal	4	0.21410563	-0.172666068
p1	g3	horizontal	5	0.223925402	-0.326994968
p1	g3	horizontal	6	0.242774885	-0.273164223
p1	g3	horizontal	7	0.251865399	-0.361185168
p1	g3	horizontal	8	0.264976452	-0.219604668
p1	g3	horizontal	9	0.282002342	-0.399044008
p1	g3	horizontal	10	0.309034118	-0.372121028
p1	g3	horizontal	11	0.346312407	-0.318473733
p1	g3	horizontal	12	0.406408732	-0.053281278
p1	g3	horizontal	13	0.494883221	0.026064032
p1	g3	horizontal	14	0.614272938	0.051728127
p1	g3	horizontal	15	0.776528255	0.084669982
p1	g3	horizontal	16	1.016097188	0.051751867
p1	g3	horizontal	17	1.411414179	0.072851377
p1	g3	horizontal	18	2.055462818	0.128859917
p1	g3	horizontal	19	3.172392334	0.146773372
p1	g3	horizontal	20	5.271072437	-0.080563918
p1	g3	vertical	1	0.171281952	-0.839037424
p1	g3	vertical	2	0.179502041	-0.736717404
p1	g3	vertical	3	0.201565382	-0.778077539
p1	g3	vertical	4	0.21410563	-0.088744024
p1	g3	vertical	5	0.223925402	-0.346781224
p1	g3	vertical	6	0.242774885	-0.340582919
p1	g3	vertical	7	0.251865399	-0.678665954
p1	g3	vertical	8	0.264976452	-0.953056139
p1	g3	vertical	9	0.282002342	-1.006894689
p1	g3	vertical	10	0.309034118	-0.940285199
p1	g3	vertical	11	0.346312407	-0.853217854
p1	g3	vertical	12	0.406408732	-0.795836504
p1	g3	vertical	13	0.494883221	-0.817854524
p1	g3	vertical	14	0.614272938	-0.808728849
p1	g3	vertical	15	0.776528255	-0.496506069
p1	g3	vertical	16	1.016097188	-0.232844669
p1	g3	vertical	17	1.411414179	-0.165539929
p1	g3	vertical	18	2.055462818	0.049896321
p1	g3	vertical	19	3.172392334	0.386091366
p1	g3	vertical	20	5.271072437	0.032035221
p1	vps	horizontal	1	0.168749436	4.426807737
p1	vps	horizontal	2	0.173779629	2.991679927
p1	vps	horizontal	3	0.179883104	3.024273377
p1	vps	horizontal	4	0.193702934	2.289927777
p1	vps	horizontal	5	0.19976716	-0.457871843
p1	vps	horizontal	6	0.21071371	0.843857067
p1	vps	horizontal	7	0.233722073	-0.324584553
p1	vps	horizontal	8	0.264374633	0.095578092
p1	vps	horizontal	9	0.282343007	0.287704117
p1	vps	horizontal	10	0.30534882	0.989659352
p1	vps	horizontal	11	0.344736547	0.488935307
p1	vps	horizontal	12	0.403631579	0.076170332
p1	vps	horizontal	13	0.485404829	0.222858832
p1	vps	horizontal	14	0.614489314	0.110472142
p1	vps	horizontal	15	0.803795088	-0.259979563
p1	vps	horizontal	16	1.067389089	-0.270067868
