ID,x,y
30,3.05462456,3.05462456
31,12.19545746,3.05462456
32,21.33629227,3.05462456
33,30.47712708,3.05462456
34,39.61796188,3.05462456
35,48.75879669,3.05462456
36,57.89962769,3.05462456
37,3.05462456,12.19545841
38,21.33629227,12.19545841
39,39.61796188,12.19545841
40,57.89962769,12.19545841
41,3.05462456,21.33629227
42,12.19545746,17.90847969
43,21.33629227,21.33629227
44,30.47712708,17.90847969
45,39.61796188,21.33629227
46,48.75879669,17.90847969
47,57.89962769,21.33629227
48,3.05462456,30.47712708
49,12.19545746,33.90493774
50,21.33629227,30.47712708
51,30.47712708,33.90493774
52,39.61796188,30.47712708
53,48.75879669,33.90493774
54,57.89962769,30.47712708
55,3.05462456,39.61796188
56,21.33629227,39.61796188
57,39.61796188,39.61796188
58,57.89962769,39.61796188
59,3.05462456,48.75879669
60,12.19545746,48.75879669
61,21.33629227,48.75879669
62,30.47712708,48.75879669
63,39.61796188,48.75879669
64,48.75879669,48.75879669
65,57.89962769,48.75879669
