subject	glasses	distance	target	median_acc_x	median_acc_y
p11	g3	200	5	0.342058	-0.248435
p11	vps	30	1	2.59803	4.240881
p11	vps	30	2	-0.042767	2.746564
p11	vps	30	3	5.592412	1.315137
p11	vps	30	4	3.965886	5.343161
p11	vps	30	5	2.543571	-0.277061
p11	vps	200	1	-0.735066	2.753529
p11	vps	200	2	-1.138803	1.943435
p11	vps	200	3	3.152054	1.976134
p11	vps	200	4	-0.317271	1.290096
p11	vps	200	5	1.216879	0.989632
p12	invisible	30	1	-6.861144	-1.493657
p12	invisible	30	2	-6.42648	-2.698387
p12	invisible	30	3	-7.236297	-0.771534
p12	invisible	30	4	-5.658745	-1.418716
p12	invisible	30	5	-7.077015	-1.955385
p12	invisible	200	1	-0.746497	-2.486018
p12	invisible	200	2	-1.41351	-1.773098
p12	invisible	200	3	-0.005714	-2.17097
p12	invisible	200	4	0.326675	-2.513331
p12	invisible	200	5	-1.004744	-3.38333
p12	neon	30	1	1.163499	-0.794073
p12	neon	30	2	0.113343	-2.000507
p12	neon	30	3	1.62466	-0.868351
p12	neon	30	4	1.019795	-0.545002
p12	neon	30	5	1.01263	-0.835348
p12	neon	200	1	0.440964	-0.58988
p12	neon	200	2	-0.223901	0.673959
p12	neon	200	3	0.789049	0.289967
p12	neon	200	4	0.392422	0.679819
p12	neon	200	5	-0.220972	-0.133322
p12	smi	30	1	0.15315	-4.39843
p12	smi	30	2	-0.10735	-4.463869
p12	smi	30	3	0.281815	-4.408233
p12	smi	30	4	0.883664	-2.94082
p12	smi	30	5	-0.731882	-5.478086
p12	smi	200	1	0.299116	-0.541854
p12	smi	200	2	-0.514974	-1.284271
p12	smi	200	3	0.831882	-0.377258
p12	smi	200	4	0.900443	0.428856
p12	smi	200	5	-0.706838	-3.033616
p12	g2	30	1	-2.421034	1.205841
p12	g2	30	2	-4.545067	-0.667943
p12	g2	30	3	-2.690511	-2.247694
p12	g2	30	4	-4.601349	0.28571
p12	g2	30	5	-1.149718	4.205161
p12	g2	200	1	-8.960846	2.882332
p12	g2	200	2	-9.757767	3.234165
p12	g2	200	3	-8.875146	2.826594
p12	g2	200	4	-9.188534	5.111378
p12	g2	200	5	-8.797955	3.233292
p12	g3	30	1	-0.374182	6.150693
p12	g3	30	2	-0.050473	5.944396
p12	g3	30	3	-0.634158	5.209668
p12	g3	30	4	-0.510661	4.587051
p12	g3	30	5	0.109374	5.15092
p12	g3	200	1	-0.356209	7.014346
p12	g3	200	2	-0.206183	6.423997
p12	g3	200	3	-0.546622	5.83688
p12	g3	200	4	-0.622461	5.989623
p12	g3	200	5	0.115697	6.47606
p12	vps	30	1	2.485399	5.27233
p12	vps	30	2	1.308117	5.032545
p12	vps	30	3	2.169193	6.470936
p12	vps	30	4	1.81103	4.587444
p12	vps	30	5	2.214048	5.524633
p12	vps	200	1	0.707628	2.678472
p12	vps	200	2	0.355061	3.283252
p12	vps	200	3	1.027331	3.548235
p12	vps	200	4	1.074836	2.677939
p12	vps	200	5	0.096118	3.189855
